	LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	Prostate1-1-2CA_A31C-0018_CRUK_PC_0018_T1	RIngLNMet_A31D-0018_CRUK_PC_0018_M2	RRib7Met_A31F-0018_CRUK_PC_0018_M4	RSubduralMet_A31A-0018_CRUK_PC_0018_M1	diploid
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	0.0	62.0	28.0	27.0	34.0	53.0
Prostate1-1-2CA_A31C-0018_CRUK_PC_0018_T1	62.0	0.0	39.0	42.0	49.0	30.0
RIngLNMet_A31D-0018_CRUK_PC_0018_M2	28.0	39.0	0.0	3.0	10.0	30.0
RRib7Met_A31F-0018_CRUK_PC_0018_M4	27.0	42.0	3.0	0.0	12.0	33.0
RSubduralMet_A31A-0018_CRUK_PC_0018_M1	34.0	49.0	10.0	12.0	0.0	40.0
diploid	53.0	30.0	30.0	33.0	40.0	0.0
